E_r,H
GPa,GPa
8.64039,0.51928
7.71364,0.30296
8.88064,0.45394
8.89684,0.30998
8.03302,0.39072
10.8005,0.57427
9.53263,0.41236
6.50937,0.21631
9.12873,0.39377
9.06118,0.44061
7.27365,0.48847
12.7202,0.6734
12.0434,0.51192
8.98222,0.38164
10.4689,0.49189
9.99854,0.37347
10.4624,0.40026
10.4706,0.57894
12.089,0.63846
10.5713,0.51891
8.36818,0.35899
8.52142,0.38322
9.37599,0.41839
12.0979,0.56283
11.5132,0.50865
13.8287,0.70417
10.3316,0.63584
6.93493,0.29035
10.6092,0.50652
10.5286,0.48818
8.36978,0.38543
8.03741,0.36762
9.31711,0.39407
10.1051,0.46042
9.33589,0.39352
14.8482,0.78676
13.4225,0.75638
12.278,0.66307
10.5932,0.4995
10.5553,0.48923
10.8195,0.50554
7.14969,0.2851
8.58207,0.42241
10.2951,0.48826
9.16401,0.40378
11.575,0.56758
12.9786,0.78143
8.25257,0.393
10.6687,0.47708
10.1717,0.45853
6.57401,0.26141
8.507,0.48353
8.14433,0.3886
8.25603,0.36391
9.66636,0.48321
11.0928,0.64227
9.40764,0.55418
13.1168,0.73956
8.98475,0.36738
9.50573,0.49696
7.87113,0.43502
6.656,0.34319
8.75591,0.41581
8.29932,0.43509
8.31631,0.49256
11.7807,0.65058
10.2843,0.51716
8.23666,0.43542
7.25269,0.35864
9.63193,0.6066
12.3144,0.79365
10.3678,0.53825
7.89215,0.38572
8.85193,0.47132
9.00134,0.49933
6.94169,0.50095
7.81712,0.43301
12.1013,0.65388
7.78501,0.31899
8.97802,0.43164
7.10134,0.29015
8.06343,0.36066
7.82223,0.42225
9.17034,0.45799
8.80377,0.47132
11.6156,0.66237
13.0382,0.66905
11.1256,0.48619
7.83059,0.33843
7.6526,0.25386
9.26356,0.45138
8.26751,0.44474
9.97862,0.62514
11.0941,0.57073
9.9795,0.50344
8.1736,0.23943
8.45948,0.38669
8.18524,0.39631
9.56589,0.48878
8.32795,0.40359
8.28892,0.72551
9.30381,0.44425
10.3563,0.53799
11.5917,0.53652
9.4503,0.41347
10.6647,0.54719
6.01268,0.22206
10.0702,0.59725
6.26578,0.43429
6.74701,0.4382
6.47275,0.31336
11.9143,0.56209
10.8192,0.54928
11.0882,0.5065
8.44214,0.28584
6.50847,0.20639
6.03495,0.33773
10.4963,0.4898
10.543,0.54601
11.1368,0.53488
12.7182,0.58902
10.6832,0.53125
6.67928,0.34749
6.52538,0.40165
12.7513,0.7842
7.08554,0.23831
