Time,NormLogIntensity
ns,a.u.
23.8388,0.95943
24.3278,0.95522
24.8168,0.95092
25.3058,0.94653
25.7948,0.94205
26.2838,0.93747
26.7728,0.93279
27.26181,0.92801
27.75081,0.92313
28.23981,0.91815
28.72881,0.91306
29.21781,0.90786
29.70681,0.90255
30.19581,0.89713
30.68481,0.89159
31.17381,0.88594
31.66281,0.88016
32.15181,0.87426
32.64081,0.86823
33.12982,0.86207
33.61882,0.85577
34.10782,0.84934
34.59682,0.84276
35.08582,0.83604
35.57482,0.82917
36.06382,0.82214
36.55282,0.81494
37.04182,0.80759
37.53082,0.80006
38.01982,0.79235
38.50882,0.78445
38.99783,0.77637
39.48683,0.76808
39.97583,0.75959
40.46483,0.75088
40.95383,0.74195
41.44283,0.73278
41.93183,0.72336
42.42083,0.71369
42.90983,0.70376
43.39883,0.69353
43.88783,0.68302
44.37684,0.67219
44.86584,0.66103
45.35484,0.64952
45.84384,0.63765
46.33284,0.62538
46.82184,0.6127
47.31084,0.59959
47.79984,0.586
48.28884,0.57192
48.77784,0.5573
49.26684,0.54211
49.75584,0.52631
50.24485,0.50985
50.73385,0.49269
51.22285,0.47476
51.71185,0.45601
52.20085,0.43639
52.68985,0.41583
53.17885,0.39428
53.66785,0.37167
54.15685,0.34799
54.64585,0.32322
55.13485,0.29743
55.62385,0.27078
56.11286,0.2436
56.60186,0.21646
57.09086,0.19034
57.57986,0.16662
58.06886,0.14717
58.55786,0.13398
59.04686,0.12862
59.53586,0.13159
60.02486,0.14206
60.51386,0.1583
61.00286,0.1783
61.49186,0.20029
61.98087,0.22301
62.46987,0.2456
62.95887,0.26756
63.44787,0.28859
63.93687,0.30858
64.42587,0.32749
64.91487,0.34532
65.40387,0.36211
65.89287,0.37792
66.38187,0.39281
66.87087,0.40684
67.35987,0.42007
67.84888,0.43254
68.33788,0.44433
68.82688,0.45546
69.31588,0.466
69.80488,0.47597
70.29388,0.48542
70.78288,0.49438
71.27188,0.50287
71.76088,0.51093
72.24988,0.51859
72.73888,0.52586
73.22789,0.53277
73.71689,0.53933
74.20589,0.54557
74.69489,0.5515
75.18389,0.55714
75.67289,0.5625
76.16189,0.56759
76.65089,0.57243
77.13989,0.57702
77.62889,0.58138
78.11789,0.58552
78.60689,0.58945
79.0959,0.59316
79.5849,0.59668
80.0739,0.60001
80.5629,0.60316
81.0519,0.60612
81.5409,0.60892
82.0299,0.61155
82.5189,0.61402
83.0079,0.61633
83.4969,0.61849
83.9859,0.6205
84.4749,0.62238
84.96391,0.62411
85.45291,0.62571
85.94191,0.62718
86.43091,0.62852
86.91991,0.62973
87.40891,0.63082
87.89791,0.6318
88.38691,0.63265
88.87591,0.6334
89.36491,0.63403
89.85391,0.63455
90.34291,0.63497
90.83192,0.63528
91.32092,0.63549
91.80992,0.6356
92.29892,0.63561
92.78792,0.63552
93.27692,0.63534
93.76592,0.63507
94.25492,0.6347
94.74392,0.63424
95.23292,0.63369
95.72192,0.63305
96.21093,0.63233
96.69993,0.63152
97.18893,0.63062
97.67793,0.62964
98.16693,0.62858
98.65593,0.62744
99.14493,0.62622
99.63393,0.62492
100.1229,0.62353
100.6119,0.62208
101.1009,0.62054
101.5899,0.61893
102.0789,0.61724
102.5679,0.61548
103.0569,0.61364
103.5459,0.61173
104.0349,0.60975
104.5239,0.60769
105.0129,0.60557
105.5019,0.60337
105.9909,0.6011
106.4799,0.59876
106.9689,0.59635
107.4579,0.59387
107.9469,0.59132
108.4359,0.58871
108.9249,0.58602
109.4139,0.58327
109.9029,0.58045
110.3919,0.57757
110.881,0.57461
111.37,0.57159
111.859,0.5685
112.348,0.56535
112.837,0.56213
113.326,0.55885
113.815,0.55549
114.304,0.55208
114.793,0.5486
115.282,0.54505
115.771,0.54144
116.26,0.53776
116.749,0.53401
117.238,0.53021
117.727,0.52633
118.216,0.5224
118.705,0.51839
119.194,0.51433
119.683,0.51019
