,Core,AFP,composite75,Stylus,SBB
baseline_slope,-8.19705630383115e-05,0.0007264104789037501,0.0010395021626162576,0.0012195470326361096,0.00012849359902146975
baseline_intercept,0.5775160218074272,-5.1598771820846885,-7.383616839226172,-8.661865459838507,-0.9176857994814348
baseline_amplitude,44.321807250844245,0.9952841697288934,1.7064397816579997,1.7974529977692058,66.99360016238523
baseline_center,7123.695040377731,7119.988037283477,7120.612369213139,7120.321706850605,7125.083748801522
baseline_sigma,0.2513746502609744,1.7209757764791498,2.1150862607284564,2.103155089920966,0.25005862965526365
peak1_amplitude,0.0036591210713043942,0.011918493104454697,0.008921385229224699,0.01532013670987431,0.005808841113076335
peak1_center,7110.50000002914,7110.974299965108,7110.776351084719,7110.877029882828,7110.76380996358
peak1_sigma,0.5000000000000011,0.7375925707721318,0.658092551101243,0.6648532081539292,0.5602658593604737
peak1_area_fraction,0.027837796013667333,0.12088573620239838,0.06023489521786071,0.10441472449697033,0.032775387729820596
peak2_amplitude,0.09706725199338906,0.05772008353617686,0.1213704669671567,0.0692214426267812,0.08887443605890111
peak2_center,7112.845446664872,7112.82319146131,7113.008877304131,7112.541163136038,7112.646482819897
peak2_sigma,0.9892731054706952,0.9114266555040657,1.0322821208659252,0.7964266825531593,0.7695732803121456
peak2_area_fraction,0.7384665081978162,0.585437666555911,0.8194621319972794,0.4717802457010513,0.5014587323695926
peak3_amplitude,0.030717979408753093,0.028954470635844665,0.017818063110308646,0.062182331334763585,0.08254852740530838
peak3_center,7114.2999999957965,7113.8353680290575,7114.299999999932,7113.912272127614,7113.948691623179
peak3_sigma,0.9892731054706952,0.9114266555040657,1.0322821208659252,0.7964266825531593,0.7695732803121456
peak3_area_fraction,0.23369569578851646,0.2936765972416906,0.12030297278485996,0.4238050298019784,0.4657658799005868
baseline_model,Linear + Lorentzian,Linear + Lorentzian,Linear + Lorentzian,Linear + Lorentzian,Linear + Lorentzian
baseline_chi_sq,3.2990947856487056e-06,1.0701329237762538e-06,1.5850257365235323e-06,1.046979049844717e-06,6.801165632686351e-07
baseline_red_chi_sq,7.331321745886012e-08,2.3780731639472308e-08,3.5222794144967384e-08,2.3266201107660378e-08,9.715950903837645e-08
baseline_aic,-816.6942719964158,-872.9875347402984,-853.3466459320362,-874.0812320701813,-190.23089944019455
baseline_ndata,50,50,50,50,12
baseline_nvarys,5,5,5,5,5
peaks_model,3 Gaussians,3 Gaussians,3 Gaussians,3 Gaussians,3 Gaussians
peaks_chi_sq,6.0930951890225315e-05,6.225341518686158e-06,1.74574544025503e-05,2.7860281104163893e-05,7.32554350594732e-06
peaks_red_chi_sq,4.953735926034578e-07,5.0612532672245185e-08,1.4193052359796992e-07,2.2650635044035687e-07,3.855549213656484e-07
peaks_aic,-1894.1066238587484,-2192.93242470228,-2057.8532889918743,-1996.619262810488,-392.239461972456
peaks_ndata,131,131,131,131,27
peaks_nvarys,8,8,8,8,8
